nom__asentamiento,lat_asentamiento,lng_asentamiento
Asentamiento Fraga,-34.584273,-58.456834
Bachillerato Popular de Jóvenes y Adultos Villa 21 / 24,-34.654319,-58.399406 
Barrio Charrúa (ex Villa 12),-34.653501,-58.432196
Barrio Illia,-34.647922,-58.434829
Barrio INTA (ex Villa 19),-34.683739,-58.486609
barrio los pinos,-34.656772,-58.450806
Barrio Municipal Soldati,-34.657019,-58.457624
Barrio Piedrabuena,-34.678128,-58.491247
Barrio Ramón Carrillo,-34.657019,-58.457624
Barrio Ramón Carrillo - 1,-34.657019,-58.457624
Barrio Ramón Carrillo - 2,-34.657019,-58.457624
Barrio Ramón Carrillo 1,-34.657019,-58.457624
Barrio Rivadavia I,-34.645256,-58.44292
Bo. Illia,-34.647922,-58.434829
Bo. Los Pinos,-34.656772,-58.450806
Bo. Piedrabuena,-34.678128,-58.491247
Bo. Pres. Illia,-34.647922,-58.434829
Bo. Ramón Carrillo 1,-34.657019,-58.457624
Bo. Rivadavia I,-34.645256,-58.44292
"CARRILLO, RAMON, DR. 1",-34.657019,-58.457624
CENOF Centro Los Piletones,-34.663603,-58.454250
Centro Recreativo Deportivo Villa 15,-34.670525,-58.490586
Charrúa (Ex-Villa 12),-34.653501,-58.432196
Cooperativa de Trabajo Inmigrantes Limitada,,
DERQUI AV. 4405,,
Flores,,
"GRANDOLI, MARTIN 5976",,
Nueva Pompeya,,
PADRE CARLOS MUGICA,-34.648866,-58.440751
PADRE CARLOS MUGICA 21373,-34.648866,-58.440751
Parque Patricios,,
Piedrabuena,-34.678128,-58.491247
Polideportivo ex Villa 1-11-14,-34.648866,-58.440751
Rivadavia I,-34.645256,-58.44292
"SCAPINO, RODOLFO",,
Sector Bonorino ex Villa 1-11-14,-34.648866,-58.440751
villa 1 11 14,-34.648866,-58.440751
Villa 1-11-14,-34.648866,-58.440751
VILLA 1-11-14,-34.648866,-58.440751
Villa 1-11-14 -,-34.648866,-58.440751
Villa 1-11-14 - Barrio Padre Ricciardelli,-34.648866,-58.440751
Villa 1-11-14 - Bo. Padre Ricciardelli,-34.648866,-58.440751
Villa 1.11.14,-34.648866,-58.440751
Villa 13 bis,-34.643382,-58.444382
villa 15,-34.670525,-58.490586
Villa 15 - Ciudad Oculta,-34.670525,-58.490586
Villa 15 (Ciudad Oculta),-34.670525,-58.490586
Villa 20,-34.675260,-58.466194
Villa 21-24,-34.654319,-58.399406 
Villa 3 - Barrio Fátima,-34.659805,-58.452580
Villa 3 - Bo. Fátima,-34.659805,-58.452580
Villa 31,-34.582916,-58.38264
Villa 31 BIS,-34.582916,-58.38264
Villa 31 bis,-34.582916,-58.38264
Villa 6 - Barrio Cildáñez,-34.658439,-58.473226
Villa 6 - Bo. Cildáñez,-34.658439,-58.473226
Villa Calacita,-34.662568,-58.451895
Villa Lugano,,
villa lugano,,
Villa Piletones,-34.663603,-58.454250
Villa Soldati,,
Villa Soldati BARRIO CARRILLO,-34.657019,-58.457624
