Comercio,Rubro,Sub-rubro
DICKEN S,Librería,NA
LIBROS DISTAL SA SRL,Librería,NA
ATLAS DLORES CANDY,Cine,NA
CINEMA DEVOTO,Cine,NA
CINEMARK PUERTO MADERO,Cine,NA
LIBRERIA GUIDO,Librería,NA
THESIS,Librería artística,NA
CINEMARK CABALLITO,Cine,NA
LIBRERIA ENTELEQUIA,Librería,Comiquería
VILLAGE CINES RECOLETA,Cine,NA
HOYTS ABASTO,Cine,NA
CINEMARK PALERMO,Cine,NA
LA REVISTERIA COMICS,Librería,Comiquería
DISTRIBUIDORA CUSPIDE,Librería,NA
LIBROS DISTRALSA SRL,Librería,NA
EUREKA RECORDS STORE,Música,NA
ENTELEQUIA,Librería,Comiquería
STRAFFORD BOOK SERVICE SA,Librería,NA
EDITORA PATRIA GRANDE,Librería,NA
CINEMA CITY GRAL PAZ,Cine,NA
LIBRERIA HERNANDEZ,Librería,NA
EUDEBA,Librería,NA
KEL EDICIONES S.A.,Librería,NA
MONITOR,Librería artística,NA
LIBROS DISMESA SRL,Librería,NA
WALDHUTER LA LIBRERIA,Librería,NA
ETERNA CADENCIA,Librería,NA
VILLAGE CABALLITO,Cine,NA
PINTURERIA ARTISTICA VILL,Librería artística,NA
HOYTS DOT,Cine,NA
MUSEO BOCA JUNIORS,Museo,NA
FABRICA DE HISTORIETAS,Librería,Comiquería
SD DISTRIBUCIONES,Librería,Comiquería
LIBROS DISTALSA SRL,Librería,NA
PROHIBIDO NO TOCAR,Museo,NA
LIBROS DISTRALBA SRL,Librería,NA
RODRIGUEZ BOTTARI DANIEL,Librería,NA
CUSPIDE,Librería,NA
PROEME,Librería,NA
VUELVO AL SUR,Librería,NA
CENTRO CULTURAL KONEX,Centro Cultural,NA
TEATRO SAN MARTIN,Centro Cultural,NA
"MU IZ CODINA, JUAN IGNACI",Música,NA
PUNTO ARTE,Librería artística,NA
TICKETEK ARGENTINA SA,Teatro,NA
LIBROS DISTAL,Librería,NA
MONK,Música,NA
ZOJA,Librería,NA
MUNDO HISPANO,Librería,NA
IMAGINADOR,Librería,NA
ASOC SOC BIBLICA ARGENTIN,Librería,NA
ALTERNATIVA TEATRAL,Teatro,NA
FUNDACION PROA,Museo,NA
FESTIVALES DE LA CIUDAD,NA,NA
LIBROS PUERTA DEL SOL,Librería,NA
CINE ATLAS PATIO,Cine,NA
TEATRO COLON,Teatro,NA
