nom__asentamiento,lat,lon,asentamiento,emplazamiento
Asentamiento Fraga,-34.584273,-58.456834,Asentamiento Fraga,céntrico
Asentamiento La Carbonilla,-34.5981721,-58.4694283,Asentamiento La Carbonilla,periférico
Asentamiento Rodrigo Bueno,-34.618993,-58.3538292,Asentamiento Rodrigo Bueno,céntrico
Bachillerato Popular de Jóvenes y Adultos Villa 21 / 24,-34.654319,-58.399406,Villa 21-24,periférico
Barrio Charrúa (ex Villa 12),-34.653501,-58.432196,Barrio Charrúa,periférico
Barrio Illia,-34.647922,-58.434829,Barrio Illia,periférico
Barrio INTA (ex Villa 19),-34.683739,-58.486609,Barrio INTA,periférico
barrio los pinos,-34.656772,-58.450806,Barrio Los Pinos,periférico
Barrio Los Pinos,-34.656772,-58.450806,Barrio Los Pinos,periférico
Barrio Municipal Soldati,-34.657019,-58.457624,Barrio Municipal Soldati,periférico
Barrio Piedrabuena,-34.678128,-58.491247,Barrio Piedrabuena,periférico
Barrio Ramón Carrillo,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
Barrio Ramón Carrillo - 1,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
Barrio Ramón Carrillo - 2,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
Barrio Ramón Carrillo 1,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
Barrio Rivadavia I,-34.645256,-58.44292,Barrio Rivadavia I,periférico
Bo. Illia,-34.647922,-58.434829,Barrio Presidente Illia,periférico
Bo. Los Pinos,-34.656772,-58.450806,Barrio Los Pinos,periférico
Bo. Mitre,-34.548961,-58.486674,Barrio Mitre,periférico
Bo. Piedrabuena,-34.678128,-58.491247,Barrio Piedrabuena,periférico
Bo. Pres. Illia,-34.647922,-58.434829,Barrio Presidente Illia,periférico
Bo. Ramón Carrillo 1,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
Bo. Rivadavia I,-34.645256,-58.44292,Barrio Rivadavia I,periférico
Bo. Rivadavia II,-34.647812,-58.44028,Barrio Rivadavia II,periférico
"CARRILLO, RAMON, DR. 1",-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
CENOF Centro Los Piletones,-34.663603,-58.45425,Barrio Los Piletones,periférico
Centro Recreativo Deportivo Villa 15,-34.670525,-58.490586,Villa 15,periférico
Charrúa (Ex-Villa 12),-34.653501,-58.432196,Barrio Charrúa,periférico
NHT Zavaleta,-34.654319,-58.399406,Villa 21-24,periférico
NTRA. SRA. DE FÁTIMA,-34.659805,-58.45258,Barrio Fátima,periférico
PADRE CARLOS MUGICA,-34.582916,-58.38264,Villa 31,céntrico
PADRE CARLOS MUGICA 21373,-34.582916,-58.38264,Villa 31,céntrico
PASAJE BARRIO FATIMA (NO OFICIAL),-34.659805,-58.45258,Barrio Fátima,periférico
Piedrabuena,-34.678128,-58.491247,Barrio Piedrabuena,periférico
Polideportivo ex Villa 1-11-14,-34.648866,-58.440751,Villa 1-11-14,periférico
Rivadavia I,-34.645256,-58.44292,Barrio Rivadavia I,periférico
Sector Bonorino ex Villa 1-11-14,-34.648866,-58.440751,Villa 1-11-14,periférico
villa 1 11 14,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 1-11-14,-34.648866,-58.440751,Villa 1-11-14,periférico
VILLA 1-11-14,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 1-11-14 -,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 1-11-14 - Barrio Padre Ricciardelli,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 1-11-14 - Bo. Padre Ricciardelli,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 1.11.14,-34.648866,-58.440751,Villa 1-11-14,periférico
Villa 13 bis,-34.643382,-58.444382,Villa 13,periférico
villa 15,-34.670525,-58.490586,Villa 15,periférico
Villa 15 - Ciudad Oculta,-34.670525,-58.490586,Ciudad Oculta,periférico
Villa 15 (Ciudad Oculta),-34.670525,-58.490586,Ciudad Oculta,periférico
Villa 20,-34.67526,-58.466194,Villa 20,periférico
Villa 21-24,-34.654319,-58.399406,Villa 21-24,periférico
Villa 3 - Barrio Fátima,-34.659805,-58.45258,Barrio Fátima,periférico
Villa 3 - Bo. Fátima,-34.659805,-58.45258,Barrio Fátima,periférico
Villa 31,-34.582916,-58.38264,Villa 31,céntrico
Villa 31 bis,-34.582916,-58.38264,Villa 31,céntrico
Villa 31 BIS,-34.582916,-58.38264,Villa 31,céntrico
Villa 6 - Barrio Cildáñez,-34.658439,-58.473226,Barrio Cildáñez,periférico
Villa 6 - Bo. Cildáñez,-34.658439,-58.473226,Barrio Cildáñez,periférico
Villa Calacita,-34.662568,-58.451895,Villa Calacita,periférico
Villa Piletones,-34.663603,-58.45425,Los Piletones,periférico
Villa Soldati BARRIO CARRILLO,-34.657019,-58.457624,Barrio Ramón Carrillo,periférico
